po_id,supplier_id,product_id,order_date,date_id,quantity_ordered,standard_unit_price,actual_unit_price,order_type,delivery_date,po_status
PO-2024-0126,SUP-015,PRD-024,2024-07-07,2024-07-07,57,40.0,40.03,Regular,2024-08-04,Completed
PO-2024-0127,SUP-008,PRD-016,2024-06-03,2024-06-03,442,90.0,113.79,Emergency,2024-07-02,Completed
PO-2024-0128,SUP-001,PRD-022,2024-05-29,2024-05-29,264,30.0,30.47,Regular,2024-06-07,Completed
PO-2024-0129,SUP-001,PRD-021,2024-01-01,2024-01-01,257,35.0,35.59,Regular,2024-01-07,Completed
PO-2024-0130,SUP-011,PRD-026,2024-03-06,2024-03-06,350,38.0,44.96,Regular,2024-04-04,Completed
PO-2024-0131,SUP-014,PRD-025,2024-08-01,2024-08-01,331,28.0,28.96,Regular,2024-08-09,Completed
PO-2024-0132,SUP-009,PRD-004,2024-01-28,2024-01-28,499,65.0,64.82,Regular,2024-02-06,Completed
PO-2024-0133,SUP-004,PRD-005,2024-05-01,2024-05-01,401,180.0,185.38,Regular,2024-05-12,Completed
PO-2024-0134,SUP-003,PRD-014,2024-10-24,2024-10-24,213,60.0,69.0,Regular,2024-11-16,Completed
PO-2024-0135,SUP-003,PRD-009,2024-08-03,2024-08-03,373,155.0,199.0,Rush,2024-08-22,Completed
PO-2024-0136,SUP-010,PRD-011,2024-03-30,2024-03-30,103,85.0,86.4,Regular,2024-04-06,Completed
PO-2024-0137,SUP-010,PRD-030,2024-04-04,2024-04-04,429,185.0,188.52,Regular,2024-04-07,Completed
PO-2024-0138,SUP-010,PRD-022,2024-09-28,2024-09-28,171,30.0,30.51,Regular,2024-10-02,Completed
PO-2024-0139,SUP-010,PRD-023,2024-08-15,2024-08-15,119,25.0,24.86,Regular,2024-08-21,Completed
PO-2024-0140,SUP-004,PRD-015,2024-11-23,2024-11-23,231,155.0,154.14,Regular,2024-11-29,Completed
PO-2024-0141,SUP-008,PRD-009,2024-03-01,2024-03-01,217,155.0,167.5,Regular,2024-03-29,Completed
PO-2024-0142,SUP-014,PRD-008,2024-07-10,2024-07-10,234,210.0,214.7,Regular,2024-07-16,Completed
PO-2024-0143,SUP-009,PRD-016,2024-06-03,2024-06-03,258,90.0,89.24,Regular,2024-06-15,Completed
PO-2024-0144,SUP-014,PRD-003,2024-07-30,2024-07-30,94,95.0,94.97,Regular,2024-08-07,Completed
PO-2024-0145,SUP-013,PRD-029,2024-10-28,2024-10-28,449,220.0,218.16,Regular,2024-11-10,Completed
PO-2024-0146,SUP-015,PRD-009,2024-12-02,2024-12-02,353,155.0,157.02,Regular,2025-01-02,Completed
PO-2024-0147,SUP-001,PRD-009,2024-11-23,2024-11-23,426,155.0,156.74,Regular,2024-12-02,Completed
PO-2024-0148,SUP-004,PRD-014,2024-08-15,2024-08-15,261,60.0,59.73,Regular,2024-08-22,Completed
PO-2024-0149,SUP-007,PRD-014,2024-08-31,2024-08-31,353,60.0,59.67,Regular,2024-09-06,Completed
PO-2024-0150,SUP-008,PRD-009,2024-01-13,2024-01-13,373,155.0,172.42,Regular,2024-02-05,Completed
PO-2024-0151,SUP-003,PRD-016,2024-11-25,2024-11-25,382,90.0,102.27,Regular,2024-12-17,Completed
PO-2024-0152,SUP-009,PRD-029,2024-07-15,2024-07-15,278,220.0,218.07,Regular,2024-07-25,Completed
PO-2024-0153,SUP-013,PRD-021,2024-04-30,2024-04-30,275,35.0,35.71,Regular,2024-05-16,Completed
PO-2024-0154,SUP-006,PRD-005,2024-01-27,2024-01-27,497,180.0,179.59,Regular,2024-02-06,Completed
PO-2024-0155,SUP-012,PRD-008,2024-07-12,2024-07-12,104,210.0,218.25,Regular,2024-07-21,Completed
PO-2024-0156,SUP-011,PRD-010,2024-06-30,2024-06-30,205,130.0,174.46,Emergency,2024-07-28,Completed
PO-2024-0157,SUP-004,PRD-018,2024-09-14,2024-09-14,111,120.0,122.59,Regular,2024-09-26,Cancelled
PO-2024-0158,SUP-014,PRD-006,2024-03-16,2024-03-16,370,110.0,109.04,Regular,2024-03-23,Completed
PO-2024-0159,SUP-008,PRD-021,2024-03-28,2024-03-28,50,35.0,38.76,Regular,2024-04-20,Pending
PO-2024-0160,SUP-003,PRD-004,2024-05-24,2024-05-24,318,65.0,74.92,Regular,2024-06-18,Completed
PO-2024-0161,SUP-015,PRD-010,2024-11-03,2024-11-03,220,130.0,134.16,Regular,2024-12-02,Completed
PO-2024-0162,SUP-002,PRD-017,2024-01-20,2024-01-20,275,105.0,117.46,Rush,2024-01-28,Completed
PO-2024-0163,SUP-008,PRD-014,2024-11-10,2024-11-10,424,60.0,65.51,Regular,2024-12-07,Completed
PO-2024-0164,SUP-012,PRD-027,2024-03-24,2024-03-24,240,55.0,62.87,Regular,2024-03-31,Completed
PO-2024-0165,SUP-007,PRD-011,2024-08-04,2024-08-04,313,85.0,85.67,Regular,2024-08-09,Completed
PO-2024-0166,SUP-007,PRD-014,2024-08-07,2024-08-07,270,60.0,61.02,Regular,2024-08-16,Completed
PO-2024-0167,SUP-003,PRD-008,2024-02-04,2024-02-04,65,210.0,244.7,Regular,2024-02-26,Pending
PO-2024-0168,SUP-006,PRD-006,2024-02-05,2024-02-05,488,110.0,108.49,Regular,2024-02-15,Completed
PO-2024-0169,SUP-015,PRD-013,2024-01-02,2024-01-02,346,75.0,77.01,Regular,2024-01-30,Completed
PO-2024-0170,SUP-006,PRD-008,2024-09-11,2024-09-11,107,210.0,205.89,Regular,2024-09-21,Completed
PO-2024-0171,SUP-006,PRD-019,2024-02-27,2024-02-27,349,80.0,81.33,Regular,2024-03-06,Completed
PO-2024-0172,SUP-010,PRD-009,2024-07-25,2024-07-25,264,155.0,159.31,Regular,2024-07-30,Completed
PO-2024-0173,SUP-012,PRD-008,2024-03-12,2024-03-12,379,210.0,206.83,Regular,2024-03-20,Completed
PO-2024-0174,SUP-005,PRD-012,2024-04-03,2024-04-03,178,55.0,55.93,Regular,2024-04-10,Pending
PO-2024-0175,SUP-011,PRD-015,2024-07-16,2024-07-16,93,155.0,205.96,Rush,2024-08-19,Pending
PO-2024-0176,SUP-014,PRD-013,2024-01-25,2024-01-25,170,75.0,76.94,Regular,2024-01-30,Completed
PO-2024-0177,SUP-007,PRD-029,2024-10-18,2024-10-18,368,220.0,220.21,Regular,2024-10-21,Completed
PO-2024-0178,SUP-008,PRD-012,2024-04-10,2024-04-10,133,55.0,60.38,Regular,2024-05-04,Completed
PO-2024-0179,SUP-009,PRD-013,2024-08-11,2024-08-11,447,75.0,75.72,Regular,2024-08-20,Completed
PO-2024-0180,SUP-010,PRD-001,2024-11-01,2024-11-01,328,45.0,46.08,Regular,2024-11-09,Completed
PO-2024-0181,SUP-012,PRD-019,2024-05-25,2024-05-25,292,80.0,79.74,Regular,2024-05-30,Completed
PO-2024-0182,SUP-014,PRD-016,2024-04-25,2024-04-25,91,90.0,89.6,Regular,2024-05-03,Completed
PO-2024-0183,SUP-007,PRD-001,2024-12-25,2024-12-25,312,45.0,45.75,Regular,2024-12-30,Completed
PO-2024-0184,SUP-011,PRD-011,2024-07-19,2024-07-19,307,85.0,100.44,Regular,2024-08-22,Cancelled
PO-2024-0185,SUP-004,PRD-011,2024-09-29,2024-09-29,224,85.0,85.77,Regular,2024-10-05,Completed
PO-2024-0186,SUP-007,PRD-019,2024-11-28,2024-11-28,464,80.0,81.23,Regular,2024-12-04,Completed
PO-2024-0187,SUP-010,PRD-020,2024-08-16,2024-08-16,412,95.0,94.45,Regular,2024-08-20,Completed
PO-2024-0188,SUP-011,PRD-007,2024-06-24,2024-06-24,145,135.0,135.0,Regular,2024-07-25,Completed
PO-2024-0189,SUP-013,PRD-023,2024-02-03,2024-02-03,427,25.0,25.18,Regular,2024-02-14,Pending
PO-2024-0190,SUP-005,PRD-024,2024-09-18,2024-09-18,229,40.0,40.21,Regular,2024-09-23,Completed
PO-2024-0191,SUP-002,PRD-018,2024-03-15,2024-03-15,408,120.0,142.95,Emergency,2024-03-24,Pending
PO-2024-0192,SUP-010,PRD-017,2024-11-28,2024-11-28,389,105.0,105.19,Regular,2024-12-05,Completed
PO-2024-0193,SUP-012,PRD-027,2024-05-29,2024-05-29,162,55.0,55.45,Regular,2024-06-08,Completed
PO-2024-0194,SUP-002,PRD-015,2024-06-01,2024-06-01,128,155.0,156.57,Regular,2024-06-13,Completed
PO-2024-0195,SUP-011,PRD-014,2024-04-14,2024-04-14,409,60.0,71.46,Regular,2024-05-13,Completed
PO-2024-0196,SUP-006,PRD-029,2024-12-02,2024-12-02,103,220.0,220.52,Regular,2024-12-10,Completed
PO-2024-0197,SUP-009,PRD-011,2024-07-29,2024-07-29,214,85.0,83.48,Regular,2024-08-12,Completed
PO-2024-0198,SUP-006,PRD-017,2024-07-09,2024-07-09,109,105.0,103.3,Regular,2024-07-16,Completed
PO-2024-0199,SUP-001,PRD-025,2024-12-05,2024-12-05,382,28.0,28.18,Regular,2024-12-10,Completed
PO-2024-0200,SUP-008,PRD-025,2024-10-04,2024-10-04,291,28.0,31.1,Regular,2024-11-01,Completed
PO-2024-0201,SUP-014,PRD-012,2024-06-01,2024-06-01,177,55.0,55.12,Regular,2024-06-07,Completed
PO-2024-0202,SUP-013,PRD-012,2024-01-20,2024-01-20,319,55.0,55.53,Regular,2024-02-05,Completed
PO-2024-0203,SUP-005,PRD-002,2024-03-16,2024-03-16,126,120.0,122.27,Regular,2024-03-20,Completed
PO-2024-0204,SUP-015,PRD-027,2024-11-02,2024-11-02,338,55.0,71.23,Emergency,2024-12-03,Completed
PO-2024-0205,SUP-002,PRD-011,2024-11-05,2024-11-05,341,85.0,86.26,Regular,2024-11-18,Pending
PO-2024-0206,SUP-002,PRD-027,2024-05-07,2024-05-07,278,55.0,54.76,Regular,2024-05-15,Completed
PO-2024-0207,SUP-007,PRD-030,2024-07-01,2024-07-01,388,185.0,186.02,Regular,2024-07-10,Pending
PO-2024-0208,SUP-006,PRD-003,2024-08-18,2024-08-18,119,95.0,93.15,Regular,2024-08-28,Pending
PO-2024-0209,SUP-008,PRD-028,2024-11-22,2024-11-22,318,95.0,105.33,Regular,2024-12-15,Completed
PO-2024-0210,SUP-013,PRD-030,2024-02-20,2024-02-20,198,185.0,188.7,Regular,2024-03-03,Completed
PO-2024-0211,SUP-007,PRD-027,2024-10-12,2024-10-12,424,55.0,63.01,Rush,2024-10-19,Completed
PO-2024-0212,SUP-013,PRD-005,2024-08-04,2024-08-04,51,180.0,210.25,Rush,2024-08-20,Completed
PO-2024-0213,SUP-010,PRD-023,2024-10-18,2024-10-18,113,25.0,24.77,Regular,2024-10-22,Completed
PO-2024-0214,SUP-007,PRD-030,2024-05-10,2024-05-10,106,185.0,186.7,Regular,2024-05-15,Completed
PO-2024-0215,SUP-003,PRD-008,2024-04-26,2024-04-26,417,210.0,247.05,Regular,2024-05-17,Completed
PO-2024-0216,SUP-011,PRD-026,2024-02-23,2024-02-23,387,38.0,45.94,Regular,2024-03-27,Completed
PO-2024-0217,SUP-010,PRD-006,2024-11-20,2024-11-20,77,110.0,110.73,Regular,2024-11-26,Completed
PO-2024-0218,SUP-004,PRD-008,2024-09-23,2024-09-23,78,210.0,218.39,Regular,2024-09-29,Completed
PO-2024-0219,SUP-008,PRD-022,2024-09-04,2024-09-04,169,30.0,30.0,Regular,2024-10-01,Completed
PO-2024-0220,SUP-003,PRD-003,2024-04-24,2024-04-24,186,95.0,110.15,Regular,2024-05-14,Pending
PO-2024-0221,SUP-004,PRD-012,2024-09-20,2024-09-20,272,55.0,54.74,Regular,2024-09-26,Completed
PO-2024-0222,SUP-014,PRD-007,2024-05-04,2024-05-04,82,135.0,132.9,Regular,2024-05-10,Completed
PO-2024-0223,SUP-004,PRD-002,2024-07-02,2024-07-02,317,120.0,118.73,Regular,2024-07-12,Completed
PO-2024-0224,SUP-006,PRD-025,2024-06-19,2024-06-19,185,28.0,32.56,Rush,2024-06-29,Completed
PO-2024-0225,SUP-003,PRD-017,2024-06-11,2024-06-11,281,105.0,122.26,Regular,2024-07-06,Completed
PO-2024-0226,SUP-002,PRD-002,2024-07-24,2024-07-24,365,120.0,119.61,Regular,2024-08-07,Completed
PO-2024-0227,SUP-013,PRD-001,2024-10-07,2024-10-07,238,45.0,45.09,Regular,2024-10-20,Completed
PO-2024-0228,SUP-008,PRD-028,2024-10-07,2024-10-07,278,95.0,103.01,Regular,2024-11-02,Completed
PO-2024-0229,SUP-007,PRD-014,2024-12-22,2024-12-22,429,60.0,60.9,Regular,2024-12-27,Completed
PO-2024-0230,SUP-012,PRD-026,2024-06-17,2024-06-17,347,38.0,44.13,Rush,2024-06-27,Completed
