snapshot_id,product_id,date_id,warehouse_id,snapshot_date,opening_stock,closing_stock,avg_stock_value,stock_age_days,is_dead_stock,holding_cost
INV-2024-00050,PRD-002,2024-02-29,WH-01,2024-02-29,721,806,91680.0,99.0,1,1833.6
INV-2024-00051,PRD-002,2024-03-31,WH-01,2024-03-31,806,818,97440.0,99.0,1,1948.8
INV-2024-00052,PRD-002,2024-04-30,WH-01,2024-04-30,818,906,117897.65,99.0,1,2357.95
INV-2024-00053,PRD-002,2024-05-31,WH-01,2024-05-31,906,991,141722.37,99.0,1,2834.45
INV-2024-00054,PRD-002,2024-06-30,WH-01,2024-06-30,991,973,143905.26,99.0,1,2878.11
INV-2024-00055,PRD-002,2024-07-31,WH-01,2024-07-31,973,963,116160.0,99.0,1,2323.2
INV-2024-00056,PRD-002,2024-08-31,WH-01,2024-08-31,963,940,114240.0,99.0,1,2284.8
INV-2024-00057,PRD-002,2024-09-30,WH-01,2024-09-30,940,1024,117840.0,99.0,1,2356.8
INV-2024-00058,PRD-002,2024-10-31,WH-01,2024-10-31,1024,1045,124080.0,99.0,1,2481.6
INV-2024-00059,PRD-002,2024-11-30,WH-01,2024-11-30,1045,1006,123120.0,99.0,1,2462.4
INV-2024-00060,PRD-002,2024-12-31,WH-01,2024-12-31,1006,988,119640.0,99.0,1,2392.8
INV-2024-00061,PRD-002,2024-01-31,WH-02,2024-01-31,1164,1212,171072.0,113.0,1,3421.44
INV-2024-00062,PRD-002,2024-02-29,WH-02,2024-02-29,1212,1265,178272.0,113.0,1,3565.44
INV-2024-00063,PRD-002,2024-03-31,WH-02,2024-03-31,1265,1249,181008.0,113.0,1,3620.16
INV-2024-00064,PRD-002,2024-04-30,WH-02,2024-04-30,1249,1299,237454.88,113.0,1,4749.1
INV-2024-00065,PRD-002,2024-05-31,WH-02,2024-05-31,1299,1379,241435.91,113.0,1,4828.72
INV-2024-00066,PRD-002,2024-06-30,WH-02,2024-06-30,1379,1470,245812.75,113.0,1,4916.26
INV-2024-00067,PRD-002,2024-07-31,WH-02,2024-07-31,1470,1556,217872.0,113.0,1,4357.44
INV-2024-00068,PRD-002,2024-08-31,WH-02,2024-08-31,1556,1520,221472.0,113.0,1,4429.44
INV-2024-00069,PRD-002,2024-09-30,WH-02,2024-09-30,1520,1234,221760.0,113.0,1,4435.2
INV-2024-00070,PRD-002,2024-10-31,WH-02,2024-10-31,1559,1550,223776.0,113.0,1,4475.52
INV-2024-00071,PRD-002,2024-11-30,WH-02,2024-11-30,1550,1623,228384.0,113.0,1,4567.68
INV-2024-00072,PRD-002,2024-12-31,WH-02,2024-12-31,1623,1635,234576.0,113.0,1,4691.52
INV-2024-00073,PRD-002,2024-01-31,WH-03,2024-01-31,1440,1485,245616.0,56.0,0,4912.32
INV-2024-00074,PRD-002,2024-02-29,WH-03,2024-02-29,1485,1566,256368.0,56.0,0,5127.36
INV-2024-00075,PRD-002,2024-03-31,WH-03,2024-03-31,1566,1658,270816.0,56.0,0,5416.32
INV-2024-00076,PRD-002,2024-04-30,WH-03,2024-04-30,1658,1636,317027.11,56.0,0,6340.54
INV-2024-00077,PRD-002,2024-05-31,WH-03,2024-05-31,1636,1656,320205.68,56.0,0,6404.11
INV-2024-00078,PRD-002,2024-06-30,WH-03,2024-06-30,1656,1691,358878.35,56.0,0,7177.57
INV-2024-00079,PRD-002,2024-07-31,WH-03,2024-07-31,1691,1685,283584.0,56.0,0,5671.68
INV-2024-00080,PRD-002,2024-08-31,WH-03,2024-08-31,1685,1696,283920.0,56.0,0,5678.4
INV-2024-00081,PRD-002,2024-09-30,WH-03,2024-09-30,1696,1779,291984.0,56.0,0,5839.68
INV-2024-00082,PRD-002,2024-10-31,WH-03,2024-10-31,1779,1756,297024.0,56.0,0,5940.48
INV-2024-00083,PRD-002,2024-11-30,WH-03,2024-11-30,1756,1234,292992.0,56.0,0,5859.84
INV-2024-00084,PRD-002,2024-12-31,WH-03,2024-12-31,1733,1790,296016.0,56.0,0,5920.32
INV-2024-00085,PRD-002,2024-01-31,WH-04,2024-01-31,1864,1941,388008.0,34.0,0,7760.16
INV-2024-00086,PRD-002,2024-02-29,WH-04,2024-02-29,1941,1982,400248.0,34.0,0,8004.96
INV-2024-00087,PRD-002,2024-03-31,WH-04,2024-03-31,1982,2060,412284.0,34.0,0,8245.68
INV-2024-00088,PRD-002,2024-04-30,WH-04,2024-04-30,2060,2130,525479.96,34.0,0,10509.6
INV-2024-00089,PRD-002,2024-05-31,WH-04,2024-05-31,2130,2200,558082.88,34.0,0,11161.66
INV-2024-00090,PRD-002,2024-06-30,WH-04,2024-06-30,2200,2152,488911.62,34.0,0,9778.23
INV-2024-00091,PRD-002,2024-07-31,WH-04,2024-07-31,2152,2238,447780.0,34.0,0,8955.6
INV-2024-00092,PRD-002,2024-08-31,WH-04,2024-08-31,2238,2249,457776.0,34.0,0,9155.52
INV-2024-00093,PRD-002,2024-09-30,WH-04,2024-09-30,2249,2249,458796.0,34.0,0,9175.92
INV-2024-00094,PRD-002,2024-10-31,WH-04,2024-10-31,2249,2257,459612.0,34.0,0,9192.24
INV-2024-00095,PRD-002,2024-11-30,WH-04,2024-11-30,2257,2324,467160.0,34.0,0,9343.2
INV-2024-00096,PRD-002,2024-12-31,WH-04,2024-12-31,2324,1234,245714.375,34.0,0,9571.68
INV-2024-00097,PRD-003,2024-01-31,WH-01,2024-01-31,362,373,34960.0,56.0,0,699.2
INV-2024-00098,PRD-003,2024-02-29,WH-01,2024-02-29,373,374,35530.0,56.0,0,710.6
INV-2024-00099,PRD-003,2024-03-31,WH-01,2024-03-31,374,335,33630.0,56.0,0,672.6
INV-2024-00100,PRD-003,2024-04-30,WH-01,2024-04-30,335,323,37488.8,56.0,0,749.78
INV-2024-00101,PRD-003,2024-05-31,WH-01,2024-05-31,323,385,37989.03,56.0,0,759.78
INV-2024-00102,PRD-003,2024-06-30,WH-01,2024-06-30,385,415,43827.54,56.0,0,876.55
INV-2024-00103,PRD-003,2024-07-31,WH-01,2024-07-31,415,366,37050.0,56.0,0,741.0
INV-2024-00104,PRD-003,2024-08-31,WH-01,2024-08-31,366,445,38570.0,56.0,0,771.4
INV-2024-00105,PRD-003,2024-09-30,WH-01,2024-09-30,445,448,42370.0,56.0,0,847.4
INV-2024-00106,PRD-003,2024-10-31,WH-01,2024-10-31,448,484,44270.0,56.0,0,885.4
INV-2024-00107,PRD-003,2024-11-30,WH-01,2024-11-30,484,562,49685.0,56.0,0,993.7
INV-2024-00108,PRD-003,2024-12-31,WH-01,2024-12-31,562,658,57950.0,56.0,0,1159.0
INV-2024-00109,PRD-003,2024-01-31,WH-02,2024-01-31,983,1000,113088.0,57.0,0,2261.76
INV-2024-00110,PRD-003,2024-02-29,WH-02,2024-02-29,1000,1072,118104.0,57.0,0,2362.08
INV-2024-00111,PRD-003,2024-03-31,WH-02,2024-03-31,1072,1166,127566.0,57.0,0,2551.32
INV-2024-00112,PRD-003,2024-04-30,WH-02,2024-04-30,1166,1153,155191.13,57.0,0,3103.82
INV-2024-00113,PRD-003,2024-05-31,WH-02,2024-05-31,1153,1218,175316.95,57.0,0,3506.34
INV-2024-00114,PRD-003,2024-06-30,WH-02,2024-06-30,1218,1306,181746.48,57.0,0,3634.93
INV-2024-00115,PRD-003,2024-07-31,WH-02,2024-07-31,1306,1399,154128.0,57.0,0,3082.56
INV-2024-00116,PRD-003,2024-08-31,WH-02,2024-08-31,1399,1445,162108.0,57.0,0,3242.16
INV-2024-00117,PRD-003,2024-09-30,WH-02,2024-09-30,1445,1518,156275.0,57.0,0,3378.96
INV-2024-00118,PRD-003,2024-10-31,WH-02,2024-10-31,1518,1537,174192.0,57.0,0,3483.84
INV-2024-00119,PRD-003,2024-11-30,WH-02,2024-11-30,1537,1579,177612.0,57.0,0,3552.24
INV-2024-00120,PRD-003,2024-12-31,WH-02,2024-12-31,1579,1531,177270.0,57.0,0,3545.4
INV-2024-00121,PRD-003,2024-01-31,WH-03,2024-01-31,752,791,102676.0,63.0,0,2053.52
INV-2024-00122,PRD-003,2024-02-29,WH-03,2024-02-29,791,887,111587.0,63.0,0,2231.74
INV-2024-00123,PRD-003,2024-03-31,WH-03,2024-03-31,887,984,124488.0,63.0,0,2489.76
INV-2024-00124,PRD-003,2024-04-30,WH-03,2024-04-30,984,1029,149751.45,63.0,0,2995.03
INV-2024-00125,PRD-003,2024-05-31,WH-03,2024-05-31,1029,1106,170957.09,63.0,0,3419.14
INV-2024-00126,PRD-003,2024-06-30,WH-03,2024-06-30,1106,1159,169752.52,63.0,0,3395.05
INV-2024-00127,PRD-003,2024-07-31,WH-03,2024-07-31,1159,1150,153482.0,63.0,0,3069.64
INV-2024-00128,PRD-003,2024-08-31,WH-03,2024-08-31,1150,1198,156142.0,63.0,0,3122.84
INV-2024-00129,PRD-003,2024-09-30,WH-03,2024-09-30,1198,1154,156408.0,63.0,0,3128.16
INV-2024-00130,PRD-003,2024-10-31,WH-03,2024-10-31,1154,1247,159600.0,63.0,0,3192.0
INV-2024-00131,PRD-003,2024-11-30,WH-03,2024-11-30,1247,1286,168378.0,63.0,0,3367.56
INV-2024-00132,PRD-003,2024-12-31,WH-03,2024-12-31,1286,1347,175028.0,63.0,0,3500.56
INV-2024-00133,PRD-003,2024-01-31,WH-04,2024-01-31,1305,1256,206720.0,64.0,0,4134.4
INV-2024-00134,PRD-003,2024-02-29,WH-04,2024-02-29,1256,1334,209142.5,64.0,0,4182.85
INV-2024-00135,PRD-003,2024-03-31,WH-04,2024-03-31,1334,1331,215118.0,56.0,0,4302.36
INV-2024-00136,PRD-003,2024-04-30,WH-04,2024-04-30,1331,1420,269259.64,64.0,0,5385.19
INV-2024-00137,PRD-003,2024-05-31,WH-04,2024-05-31,1420,1378,261133.91,64.0,0,5222.68
INV-2024-00138,PRD-003,2024-06-30,WH-04,2024-06-30,1378,1474,156275.0,64.0,0,5735.33
INV-2024-00139,PRD-003,2024-07-31,WH-04,2024-07-31,1474,1554,244511.0,64.0,0,4890.22
INV-2024-00140,PRD-003,2024-08-31,WH-04,2024-08-31,1554,1651,258723.0,64.0,0,5174.46
INV-2024-00141,PRD-003,2024-09-30,WH-04,2024-09-30,1651,1654,266798.0,64.0,0,5335.96
INV-2024-00142,PRD-003,2024-10-31,WH-04,2024-10-31,1654,1723,272612.0,64.0,0,5452.24
INV-2024-00143,PRD-003,2024-11-30,WH-04,2024-11-30,1723,1788,283594.0,64.0,0,5671.88
INV-2024-00144,PRD-003,2024-12-31,WH-04,2024-12-31,1788,1812,290700.0,64.0,0,5814.0
INV-2024-00145,PRD-004,2024-01-31,WH-01,2024-01-31,503,536,33800.0,40.0,0,676.0
INV-2024-00146,PRD-004,2024-02-29,WH-01,2024-02-29,536,597,36790.0,40.0,0,735.8
INV-2024-00147,PRD-004,2024-03-31,WH-01,2024-03-31,597,645,40365.0,40.0,0,807.3
INV-2024-00148,PRD-004,2024-04-30,WH-01,2024-04-30,645,687,50077.19,40.0,0,1001.54
INV-2024-00149,PRD-004,2024-05-31,WH-01,2024-05-31,687,746,56301.61,40.0,0,1126.03
INV-2024-00150,PRD-004,2024-06-30,WH-01,2024-06-30,746,749,57842.48,40.0,0,1156.85
INV-2024-00151,PRD-004,2024-07-31,WH-01,2024-07-31,749,766,49270.0,40.0,0,985.4
INV-2024-00152,PRD-004,2024-08-31,WH-01,2024-08-31,766,748,49205.0,40.0,0,984.1
INV-2024-00153,PRD-004,2024-09-30,WH-01,2024-09-30,748,839,51610.0,40.0,0,1032.2
INV-2024-00154,PRD-004,2024-10-31,WH-01,2024-10-31,839,809,53560.0,40.0,0,1071.2
INV-2024-00155,PRD-004,2024-11-30,WH-01,2024-11-30,809,806,52520.0,40.0,0,1050.4
INV-2024-00156,PRD-004,2024-12-31,WH-01,2024-12-31,806,903,55510.0,40.0,0,1110.2
INV-2024-00157,PRD-004,2024-01-31,WH-02,2024-01-31,1638,1732,131430.0,12.0,0,2628.6
INV-2024-00158,PRD-004,2024-02-29,WH-02,2024-02-29,1732,1809,138060.0,12.0,0,2761.2
INV-2024-00159,PRD-004,2024-03-31,WH-02,2024-03-31,1809,1791,140400.0,12.0,0,2808.0
INV-2024-00160,PRD-004,2024-04-30,WH-02,2024-04-30,1791,1855,174509.94,12.0,0,3490.2
INV-2024-00161,PRD-004,2024-05-31,WH-02,2024-05-31,1855,1234,164875.48,12.0,0,3297.51
INV-2024-00162,PRD-004,2024-06-30,WH-02,2024-06-30,1826,1813,183948.73,12.0,0,3678.97
INV-2024-00163,PRD-004,2024-07-31,WH-02,2024-07-31,1813,1813,141414.0,12.0,0,2828.28
INV-2024-00164,PRD-004,2024-08-31,WH-02,2024-08-31,1813,1770,139776.0,12.0,0,2795.52
INV-2024-00165,PRD-004,2024-09-30,WH-02,2024-09-30,1770,1746,137124.0,56.0,0,2742.48
INV-2024-00166,PRD-004,2024-10-31,WH-02,2024-10-31,1746,1722,135252.0,12.0,0,2705.04
INV-2024-00167,PRD-004,2024-11-30,WH-02,2024-11-30,1722,1234,133146.0,12.0,0,2662.92
INV-2024-00168,PRD-004,2024-12-31,WH-02,2024-12-31,1692,1671,131196.0,12.0,0,2623.92
INV-2024-00169,PRD-004,2024-01-31,WH-03,2024-01-31,2064,2074,188279.0,68.0,0,3765.58
INV-2024-00170,PRD-004,2024-02-29,WH-03,2024-02-29,2074,2071,188552.0,68.0,0,3771.04
INV-2024-00171,PRD-004,2024-03-31,WH-03,2024-03-31,2071,2167,192829.0,68.0,0,3856.58
INV-2024-00172,PRD-004,2024-04-30,WH-03,2024-04-30,2167,2120,215563.23,68.0,0,4311.26
INV-2024-00173,PRD-004,2024-05-31,WH-03,2024-05-31,2120,2118,213793.51,68.0,0,4275.87
INV-2024-00174,PRD-004,2024-06-30,WH-03,2024-06-30,2118,2113,247044.13,68.0,0,4940.88
INV-2024-00175,PRD-004,2024-07-31,WH-03,2024-07-31,2113,2161,194467.0,68.0,0,3889.34
INV-2024-00176,PRD-004,2024-08-31,WH-03,2024-08-31,2161,2234,200018.0,68.0,0,4000.36
INV-2024-00177,PRD-004,2024-09-30,WH-03,2024-09-30,2234,2220,202657.0,68.0,0,4053.14
INV-2024-00178,PRD-004,2024-10-31,WH-03,2024-10-31,2220,2193,200746.0,68.0,0,4014.92
INV-2024-00179,PRD-004,2024-11-30,WH-03,2024-11-30,2193,2235,201474.0,68.0,0,4029.48
INV-2024-00180,PRD-004,2024-12-31,WH-03,2024-12-31,2235,2230,203112.0,68.0,0,4062.24
INV-2024-00181,PRD-004,2024-01-31,WH-04,2024-01-31,1672,1737,188292.0,64.0,0,3765.84
INV-2024-00182,PRD-004,2024-02-29,WH-04,2024-02-29,1737,1753,192822.5,64.0,0,3856.45
INV-2024-00183,PRD-004,2024-03-31,WH-04,2024-03-31,1753,1830,198016.0,64.0,0,3960.32
INV-2024-00184,PRD-004,2024-04-30,WH-04,2024-04-30,1830,1797,242813.53,64.0,0,4856.27
INV-2024-00185,PRD-004,2024-05-31,WH-04,2024-05-31,1797,1800,246204.2,64.0,0,4924.08
INV-2024-00186,PRD-004,2024-06-30,WH-04,2024-06-30,1800,1853,224791.91,56.0,0,4495.84
INV-2024-00187,PRD-004,2024-07-31,WH-04,2024-07-31,1853,1916,208182.0,64.0,0,4163.64
INV-2024-00188,PRD-004,2024-08-31,WH-04,2024-08-31,1916,1897,210613.0,56.0,0,4212.26
INV-2024-00189,PRD-004,2024-09-30,WH-04,2024-09-30,1897,1932,211497.0,64.0,0,4229.94
INV-2024-00190,PRD-004,2024-10-31,WH-04,2024-10-31,1932,2008,217685.0,64.0,0,4353.7
INV-2024-00191,PRD-004,2024-11-30,WH-04,2024-11-30,2008,2087,226304.0,56.0,0,4526.08
INV-2024-00192,PRD-004,2024-12-31,WH-04,2024-12-31,2087,2053,228735.0,64.0,0,4574.7
INV-2024-00193,PRD-005,2024-01-31,WH-01,2024-01-31,445,433,79020.0,13.0,0,1580.4
INV-2024-00194,PRD-005,2024-02-29,WH-01,2024-02-29,433,408,75600.0,13.0,0,1512.0
INV-2024-00195,PRD-005,2024-03-31,WH-01,2024-03-31,408,45600,77760.0,13.0,0,1555.2
INV-2024-00196,PRD-005,2024-04-30,WH-01,2024-04-30,456,455,104521.86,13.0,0,2090.44
INV-2024-00197,PRD-005,2024-05-31,WH-01,2024-05-31,455,417,87608.7,13.0,0,1752.17
INV-2024-00198,PRD-005,2024-06-30,WH-01,2024-06-30,417,501,99169.06,13.0,0,1983.38
INV-2024-00199,PRD-005,2024-07-31,WH-01,2024-07-31,501,470,87480.0,13.0,0,1749.6
INV-2024-00200,PRD-005,2024-08-31,WH-01,2024-08-31,470,484,85860.0,13.0,0,1717.2
INV-2024-00201,PRD-005,2024-09-30,WH-01,2024-09-30,484,441,83160.0,13.0,0,1663.2
INV-2024-00202,PRD-005,2024-10-31,WH-01,2024-10-31,441,534,87840.0,13.0,0,1756.8
INV-2024-00203,PRD-005,2024-11-30,WH-01,2024-11-30,534,625,104400.0,13.0,0,2088.0
INV-2024-00204,PRD-005,2024-12-31,WH-01,2024-12-31,625,689,118260.0,13.0,0,2365.2
INV-2024-00205,PRD-005,2024-01-31,WH-02,2024-01-31,290,302,63936.0,70.0,0,1278.72
INV-2024-00206,PRD-005,2024-02-29,WH-02,2024-02-29,302,376,73224.0,70.0,0,1464.48
INV-2024-00207,PRD-005,2024-03-31,WH-02,2024-03-31,376,475,92016.0,70.0,0,1840.32
INV-2024-00208,PRD-005,2024-04-30,WH-02,2024-04-30,475,482,131339.81,70.0,0,2626.8
INV-2024-00209,PRD-005,2024-05-31,WH-02,2024-05-31,482,480,144671.905,70.0,0,2893.44
INV-2024-00210,PRD-005,2024-06-30,WH-02,2024-06-30,480,499,122843.52,70.0,0,2456.87
INV-2024-00211,PRD-005,2024-07-31,WH-02,2024-07-31,499,549,113184.0,70.0,0,2263.68
INV-2024-00212,PRD-005,2024-08-31,WH-02,2024-08-31,549,506,114048.0,70.0,0,2280.96
INV-2024-00213,PRD-005,2024-09-30,WH-02,2024-09-30,506,508,109512.0,70.0,0,2190.24
INV-2024-00214,PRD-005,2024-10-31,WH-02,2024-10-31,508,517,110592.0,70.0,0,2211.84
INV-2024-00215,PRD-005,2024-11-30,WH-02,2024-11-30,517,574,117936.0,56.0,0,2358.72
INV-2024-00216,PRD-005,2024-12-31,WH-02,2024-12-31,574,528,119016.0,70.0,0,2380.32
INV-2024-00217,PRD-005,2024-01-31,WH-03,2024-01-31,629,625,158004.0,10.0,0,3160.08
INV-2024-00218,PRD-005,2024-02-29,WH-03,2024-02-29,625,673,163548.0,10.0,0,3270.96
INV-2024-00219,PRD-005,2024-03-31,WH-03,2024-03-31,673,677,144671.905,10.0,0,3402.0
INV-2024-00220,PRD-005,2024-04-30,WH-03,2024-04-30,677,678,192477.67,10.0,0,3849.55
INV-2024-00221,PRD-005,2024-05-31,WH-03,2024-05-31,678,1234,215287.29,10.0,0,4305.75
INV-2024-00222,PRD-005,2024-06-30,WH-03,2024-06-30,741,837,250331.86,10.0,0,5006.64
INV-2024-00223,PRD-005,2024-07-31,WH-03,2024-07-31,837,849,212436.0,10.0,0,4248.72
INV-2024-00224,PRD-005,2024-08-31,WH-03,2024-08-31,849,1234,209916.0,10.0,0,4198.32
INV-2024-00225,PRD-005,2024-09-30,WH-03,2024-09-30,817,858,211176.0,10.0,0,4223.52
INV-2024-00226,PRD-005,2024-10-31,WH-03,2024-10-31,858,865,217224.0,10.0,0,4344.48
INV-2024-00227,PRD-005,2024-11-30,WH-03,2024-11-30,865,904,222768.0,10.0,0,4455.36
INV-2024-00228,PRD-005,2024-12-31,WH-03,2024-12-31,904,970,236124.0,10.0,0,4722.48
INV-2024-00229,PRD-005,2024-01-31,WH-04,2024-01-31,1247,1325,393516.0,99.0,1,7870.32
INV-2024-00230,PRD-005,2024-02-29,WH-04,2024-02-29,1325,1332,406368.0,99.0,1,8127.36
INV-2024-00231,PRD-005,2024-03-31,WH-04,2024-03-31,1332,1403,418608.0,99.0,1,8372.16
INV-2024-00232,PRD-005,2024-04-30,WH-04,2024-04-30,1403,1234,501139.96,99.0,1,10022.8
INV-2024-00233,PRD-005,2024-05-31,WH-04,2024-05-31,1353,1398,509412.64,99.0,1,10188.25
INV-2024-00234,PRD-005,2024-06-30,WH-04,2024-06-30,1398,1395,485516.79,99.0,1,9710.34
INV-2024-00235,PRD-005,2024-07-31,WH-04,2024-07-31,1395,1461,436968.0,99.0,1,8739.36
INV-2024-00236,PRD-005,2024-08-31,WH-04,2024-08-31,1461,1539,459000.0,99.0,1,9180.0
INV-2024-00237,PRD-005,2024-09-30,WH-04,2024-09-30,1539,1504,465732.0,99.0,1,9314.64
INV-2024-00238,PRD-005,2024-10-31,WH-04,2024-10-31,1504,1522,462978.0,99.0,1,9259.56
INV-2024-00239,PRD-005,2024-11-30,WH-04,2024-11-30,1522,1493,461448.0,99.0,1,9228.96
INV-2024-00240,PRD-005,2024-12-31,WH-04,2024-12-31,1493,1535,463284.0,99.0,1,9265.68
INV-2024-00241,PRD-006,2024-01-31,WH-01,2024-01-31,503,596,60500.0,80.0,0,1210.0
INV-2024-00242,PRD-006,2024-02-29,WH-01,2024-02-29,596,631,67540.0,80.0,0,1350.8
INV-2024-00243,PRD-006,2024-03-31,WH-01,2024-03-31,631,609,68200.0,80.0,0,1364.0
INV-2024-00244,PRD-006,2024-04-30,WH-01,2024-04-30,609,627,76058.16,80.0,0,1521.16
INV-2024-00245,PRD-006,2024-05-31,WH-01,2024-05-31,627,670,90603.45,56.0,0,1812.07
INV-2024-00246,PRD-006,2024-06-30,WH-01,2024-06-30,670,763,88177.08,80.0,0,1763.54
INV-2024-00247,PRD-006,2024-07-31,WH-01,2024-07-31,763,1234,85800.0,80.0,0,1716.0
INV-2024-00248,PRD-006,2024-08-31,WH-01,2024-08-31,797,785,87010.0,80.0,0,1740.2
INV-2024-00249,PRD-006,2024-09-30,WH-01,2024-09-30,785,834,89100.0,80.0,0,1782.0
INV-2024-00250,PRD-006,2024-10-31,WH-01,2024-10-31,834,816,90750.0,80.0,0,1815.0
INV-2024-00251,PRD-006,2024-11-30,WH-01,2024-11-30,816,866,92510.0,80.0,0,1850.2
